"id_transect";"111";"112";"121";"122";"123";"124";"131";"132";"133";"141";"142";"211";"221";"222";"223";"231";"242";"243";"311";"312";"313";"321";"322";"323";"324";"331";"332";"333";"335";"411";"412";"421";"423";"511";"512";"522";"523"
"1_Cormailles - Long rue Ledru Rollin";22842478.4519724;32360307.3462993;7838320.25955806;2756784.21477403;0;0;0;0;0;5982647.85262152;2087283.93265868;0;0;0;0;0;744736.85851203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1643536.4445553;0;0;0
"100_Pech David Château d";2467184.16562226;32850429.6683103;17465018.1445547;1247908.33880751;0;20004.8072612584;0;0;0;1538335.6367172;3201024.19188411;2906554.77327974;37446.973804559;0;0;0;6964310.04204778;673435.946076028;4058479.13737496;0;0;0;0;0;733786.411998253;0;0;0;0;0;0;0;0;2090528.45518472;0;0;0
"101_caffarelli";3671685.41730426;48158645.882527;10907039.7990422;1966641.5152082;0;1385034.97451453;0;0;0;416958.790289602;3077684.00119381;10664.0886727659;0;0;0;0;2835348.35393712;1153123.82295347;316999.154703008;0;0;0;250123.66514427;0;0;0;0;0;0;0;0;0;0;2104485.24934394;0;0;0
"101_Du barry 1";4999272.35524981;40833415.1923971;14993405.1203588;926414.892464613;0;4183478.21583337;0;0;0;1732111.61608888;2326472.14521385;0;0;0;0;0;2486599.26790418;1193300.59196569;282788.987257174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2250320.34206135;65512.9161612837;0;0
"102_musee des augustins";2283474.90292129;47024602.2182644;14455729.4106066;1867099.73729568;0;556777.177832633;0;0;0;730150.473808942;3557681.3933504;341715.5165355;0;0;0;0;2028350.05009217;538033.951979325;793308.484377427;0;0;0;81490.1786453808;0;0;0;0;0;0;0;0;0;0;1995462.94387481;0;0;0
"1022_Jardin des plantes Lyon";5409467.79813573;43850926.777137;14482764.0511423;881139.313305377;395746.360604934;0;0;0;0;4573486.01846239;1895355.69034491;0;0;0;0;1039.55804570482;447472.351324215;151468.362964561;104564.50657255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4060860.86983852;0;0;0
"103_Ile du ramier";4999272.35524981;41453869.391267;16207415.5280403;651349.118716483;0;0;0;0;0;1668317.98296407;2911949.64544926;746517.411320802;11468.4993596268;0;0;0;1243632.52423853;934575.963469476;2685990.19448356;0;0;5593.04810118995;0;0;733786.411998253;0;0;0;0;0;0;0;0;2024829.41410705;0;0;0
"103_La plage";4127665.99699496;44657595.3208019;14759977.4637994;1622812.19626911;0;381032.550494261;0;0;0;1472899.51346338;3321476.94382579;0;0;0;0;0;1001216.61551517;1114385.18003535;1705052.42200926;0;0;0;0;0;269433.327321623;0;0;0;0;0;0;0;0;1739696.58696435;0;0;0
"1038_Epinay - Lihou";2156716.07022482;48879992.0152755;13147473.3995116;1195429.16386582;4353988.59446514;0;0;0;0;1638828.0455345;1580598.52170623;0;0;308106.777828269;0;0;919901.942831989;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1685917.90946845;433080.089848981;0;0
"104_Grande Plaine Nord";4623868.30354655;30655253.3510239;11953452.0942761;1671904.57012442;0;128238.141367659;0;0;0;278822.062545612;2678003.08779709;18755607.6142683;0;0;0;0;2525442.065569;389130.782032701;1748370.85064939;0;0;0;0;0;0;0;0;0;0;0;0;0;0;848132.793691703;0;0;0
