"1135_jean moulin stade";204868.080969806;2658750.20376867;0;0;0;0;0;0;0;275186.625475031;0;0;0;0;0;47772.633053783;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1139_pf";305538.726320972;258143.097547629;497838.446937034;0;0;0;0;0;0;1363317.8243334;760840.625863816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1150_Transect 2021";541048.111846068;1832554.45287454;0;0;0;0;0;0;0;0;292303.98337034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;427853.877005381;0;0;0;93265.921426271
"1154_Transect 2021";12755.8039031664;0;695852.419205945;0;1606801.37608747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29547.2405715352;0;535873.867206475;306476.529750076
"1159_Transect 2021";580854.681958979;0;743320.669039186;106276.334476488;1266386.2307262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;426389.024298945;63887.8626542653
"1160_Transect 2021";20011.2069808605;0;928201.052913463;0;1489906.85467885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56629.5655849066;0;482287.541093644;211459.275389812
"1161_Transect 2021";1837.30208410304;616735.416920262;1105340.19785939;451454.004216115;667833.331161669;0;0;0;0;101746.340839163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;243240.635153649;0;0;0
"1162_Transect 2021";172962.529336013;167529.381349099;1909026.64544081;34425.2438886437;722821.85848978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;181734.514865273;0;0;0
"1170_Transect 2021";302732.978196184;2364864.03036217;0;0;0;0;0;0;0;518292.46414082;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1174_T1";59631.612670855;1378779.04844639;0;0;0;24451.339527641;0;0;0;0;0;0;0;0;0;0;0;0;283005.17686697;195422.014196082;0;523103.207468216;0;0;0;0;0;0;485318.411986077;0;0;0;239090.459790481;0
"1176_T1";343008.808094254;1242425.73042538;0;0;0;745094.14424739;0;0;0;0;0;8930.14635185106;0;0;0;0;0;0;0;124485.409566912;0;62400.2931777648;0;0;0;0;0;0;329282.5299536;0;0;0;331683.937629867;0
"1184_Grève parc Billancourt Est";341706.065298806;1768138.79809706;742398.333559123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;334783.91093472;0;0;0
"1188_vilmorin";408698.800497286;2747302.55639696;0;0;0;0;0;0;0;0;0;0;0;0;0;30017.298053666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1190_chemin St Martin";65424.1949089951;2778903.4754882;0;0;0;0;0;0;0;0;0;0;0;0;0;344730.810501337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1197_rue neuve";12087.7370659014;2633307.89032569;540118.496831293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1199_chemin 2";451655.918294491;2542576.84181379;179293.747179178;0;0;0;0;0;0;0;0;0;0;0;0;15395.5696915593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1199_chemin en contre abs";458626.008983989;2539842.52355676;177082.992884948;0;0;0;0;0;0;0;0;0;0;0;0;11992.0282881702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1199_lisière 1";419211.462809502;2534474.17135722;189769.972630157;0;0;0;0;0;0;0;0;0;0;0;0;46196.1331668357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"1199_lissière 1";422436.938374123;2535773.42698139;187900.91128785;0;0;0;0;0;0;0;0;0;0;0;0;43209.7021277289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
