"id_transect";"1";"2";"3";"4";"5"
"1_Cormailles - Long rue Ledru Rollin";231354447.886878;2408246.49827515;1407392.81665259;0;3280951.19802675
"10_Malnoue Nord1";154373402.175334;32033837.755163;51825302.429289;0;274647.262663384
"100_Pech David Château d";134803800.800972;91206630.3079854;9394685.7221844;0;3067859.37951332
"100_peyre";123822785.251423;102306893.636168;8962972.7444173;0;3303586.44073319
"1022_Jardin des plantes Lyon";162040748.931171;49908473.9610467;20440202.2758583;0;6084698.73101836
"1038_Epinay - Lihou";202799084.386741;18537032.5609423;14355443.1277084;0;2765579.81481633
"104_Grande Plaine Nord";122378768.45247;100186436.69891;13175418.7325361;0;2614983.06001519
"104_Grande Plaine Nord bis";121817580.136158;100764731.615779;12920702.1559032;0;2594708.91360226
"104_Grande Plaine Sud";116173682.272725;107351743.95339;12086878.448831;0;2769158.45611754
"1042_Gerland Berge";158567486.55852;62430469.0765129;12431746.5593409;0;4982864.88668812
"1042_Megaphorbiaie";159706356.028363;61569557.723246;12007113.4801901;0;4910942.04337736
"105_PDBSE AUTOUR DU PLAN D'EAU";137782391.162379;23758385.0088119;73270756.9462602;0;3460725.71651309
"105_PDBSE DEPUIS L'ENTREE VERS LE PLAN D'EAU";137344667.236346;23552987.7641568;74141820.0678885;0;3251029.84899822
"105_PDBSE NOUVELLES PLANTATIONS";137562851.086305;23912723.8574796;73054603.7133911;0;3626727.41234476
"1054_Prairie centrale";108785449.126732;76604803.4199163;46365702.733399;0;6875802.85761065
"1056_Pépinière SEDIF";231201653.055438;1775227.87306113;3469095.21487836;0;1990437.27916978
"106_PDR PRAIRIE BOUCLE";142773989.322455;29498115.4609117;59912592.819557;0;6191394.93681483
"1063_Gabriel rosset";161957470.8864;58488508.469456;12980266.059373;0;4791590.57442676
"1064_Clos Layat Espace à vivre";167414861.81556;58343344.3471481;6928965.30373572;0;5580449.31227985
"107_PDC UGF1 DAGUIN";145133903.799425;32655752.4728364;53110999.8175934;0;7268493.95488139
"107_PDC UGF2 ADR";145095761.072931;32012298.7495551;53969408.3229508;0;7114610.93234233
"107_PDC UGF4 BRUYERES";145379887.603863;31598501.1961442;54228471.935202;0;7115131.06201198
"1072_le verger";221686427.149671;6286900.01428764;5984043.40561345;0;4394975.31295163
"1072_le Verger";221692754.125172;6286900.0142875;5984032.93735879;0;4394975.31295163
"1072_Le Verger";221733743.885575;6290847.5058528;5982085.12127798;0;4394933.27920149
"108_PDOD2V JARDINIERES";152215759.935376;38794687.8207042;34211837.4114547;1314778.24275325;11819655.9867772
"108_PDOD2V THEATRE";152258960.154491;38390361.1278699;34610080.3885216;1310632.67599988;11718929.6327044
"1081_gs Langevin";218699417.845446;7467105.67501497;8369518.30414326;0;3931936.40518542
"109_PDB ALLEE AU NORD DU PLAN D'EAU";152017006.557566;38239710.6525304;36679699.1389454;646652.029323251;10663508.4849492
"109_PDB CHATEAU";152694078.96181;38925061.2340256;34708024.1491972;894396.175974903;11013276.9198729
"109_PDB GARENNE MUSSET";152285513.996271;39898315.8159207;34458342.6004181;721247.242788387;10881329.4669174
"109_PDB PARCELLE NORD PRAIRIE";151764392.051526;37380193.0674579;37838337.2347907;800652.318055707;10457861.8160495
"109_PDB VERGER";151823324.662805;39090737.212339;35892038.2309237;597256.751081208;10790957.0476275
"11_Soubriarde";123321858.762485;43776698.5441726;70940175.7952303;0;354235.257358393
"110_PDL ORCHIDEES PROTEGEES";144758154.103652;40285995.4067717;44031344.8666195;0;9362951.02114862
"110_PDL VERGER";144527958.332522;39856888.6777983;44783039.3657522;0;9211896.04919126
"110_PDL ZONE BOISEE";144382810.411475;38908238.7135874;46101077.6651841;0;8960241.57674101
"1103_champs de poire";233430903.62283;842071.224318271;1797222.92419884;0;2325715.1064047
"1104_CTI1";126151941.113259;37113538.1795806;73148284.2270579;0;1955548.37957598
"111_Lilas - Prairie pâturée";220572232.568845;7884364.74113429;6817360.30275414;0;3132243.85973541
"111_Lilas - Talus long rue Paul Armangot";220181058.704366;7645352.47813416;7101563.27699791;0;3426387.57257783
"111_Lilas - Vergers";220502015.401534;7920654.17277549;6648376.58003428;0;3150164.35024974
"112_PDT AIRE DE JEUX";148183232.929205;45552548.1996066;34927782.1440408;221917.780789697;9419195.36052952
"112_PDT ZONE BOISEE";148002611.158325;45506400.1518074;35206144.4342724;181959.455688055;9464332.30804655
"1122_Bassin de rétention";32491368.5886355;101757556.719536;7382466.18546922;7468394.5893953;89179827.0549629
"1128_Zone 1 Prairie fleurie";66951036.1455099;9482120.88966099;78638620.1564095;0;83210273.1332745
"1128_Zone 2 vivaces";67212703.7008253;9491825.25545956;78668513.5511171;0;82989979.4116463
"1128_Zone 3 Massifs annuelles";67199936.9652205;9503295.6790201;78641398.056535;0;82951508.4158732
"1128_Zone 4 jardin Français";67051861.0638858;9514122.11880679;78294078.7451019;0;83678944.9493031
"1128_Zone 5 Bois sacré";67416496.7195464;9532039.93250215;78597320.6142618;0;82913454.6559706
"1129_montreau gestion 1";228715145.59905;2556195.57571417;5099687.62670987;0;2058688.98399757
"113_PSB PRAIRIE BOUCLE";129682239.637389;24754640.6255395;83338379.7570405;0;526992.741537955
"1130_montreau gestion 2";228359369.718643;2590808.59834118;5087466.551103;0;2137090.66937418
"1131_marcel cachin";234221413.318136;621190.409691311;1004104.96748471;0;2448020.58138774
"1132_Zone 1 Milieu rocheux";62390738.8310522;6705660.45621729;46503396.152738;0;122808279.707139
"1132_Zone 2 Milieu Garrigue";59315105.7963136;8720890.81413392;63190646.6039874;0;107041542.474644
"1132_Zone 3 Milieu forestier";60320259.4812214;8313095.6377929;56139318.238863;0;113558569.916718
"1133_rue de vincennes";234842596.627035;1026439.80232507;0;0;2551492.67557486
"1134_patriarche";234554234.303792;859893.637963939;7315.60206454055;0;3049616.81476934
"1135_jean moulin stade";233888017.750024;1311271.75769892;321839.772294386;0;2887522.14539998
"1137_montreau gestion 3";227262325.080716;2936229.04217836;6212229.65534699;0;2085619.89385667
"1139_pf";233620727.583631;1816505.18880665;363995.155645979;0;2715264.97582125
"114_BDB CHENAIE CHARMAIE NE";141689443.618464;37362239.7039562;50547821.6708819;0;8586457.4215574
"114_BDB CHENAIE PINEDE JARDIN DES SONS";140639352.979773;35896445.2319837;53552813.6641839;0;8149795.17577994
"114_BDB PELOUSE ENTRE PEUGUE ET TERRAINS DE SPORT";138581444.816137;35132610.0044928;56864278.669827;0;7599990.97435587
"114_BDB PELOUSE TERRAIN DE BICROSS";139529008.620598;34881685.8142061;56083297.5295147;0;7739340.60144244
"114_BDB PRAIRIE RONCIER SUD TERRAIN BICROSS";139163133.369375;35069683.8615042;56298575.3765486;0;7730753.46226104
"114_BDB SENTIER DU PEUGUE";138629136.72992;34124138.6716544;58505605.835344;0;7195405.37348051
