"id_transect";"1";"2";"3";"4";"5"
"1417_Cristallerie 1";3187674.43682749;0;0;0;0
"1421_Édouard Vaillant 1";3186992.05553506;0;0;0;0
"1422_Légion d'Honneur 1";3185553.26364547;0;0;0;0
"1423_Roser 1";3187964.4397431;0;0;0;0
"1438_Eli Lotar 1";3186989.59651431;0;0;0;0
"1455_Plaine Apollinaire";2504128.87770555;683629.894339247;0;0;0
"1456_Bois Picot";2640396.15523598;549498.684855703;0;0;0
"1460_Latz 1";2808121.27640691;0;0;0;379114.636140882
"1461_PROPAGE 2023";3188115.30537798;0;0;0;0
"1463_MAISON CARREE ENTREE EYQUEMS";3003277.87468409;181708.234847876;0;0;0
"1463_MAISON CARREE TERRASSES";2966091.35484005;217881.179480839;0;0;0
"1465_CIMETIERE DU BOUSCAT BOUCLE EST";3184545.53667966;0;0;0;0
"1465_CIMETIERE DU BOUSCAT BOUCLE PRAIRIE";3183108.41995392;0;0;0;0
"1465_CIMETIERE DU BOUSCAT TRANSECT NORD";3183515.20279321;0;0;0;0
"1466_ERMITAGE LISIERE SOUS-BOIS";3183634.35411766;0;0;0;0
"1466_ERMITAGE ROSERAIE";3183692.34712567;0;0;0;0
"1485_Rapas 1-Ouest";2915456.730039;0;0;0;269232.455874347
"155_Jardin des plantes carrés botaniques 2";2958738.38021206;0;230268.495182244;0;0
"155_Jardins partagés coccinelles Lille";3188090.50901467;0;0;0;0
"157_Jardin du goût/bouliste";2968618.12028927;0;0;0;217772.035692485
"157_Prairie florilège";3000317.88898881;0;0;0;185390.046507352
"157_Rocaille/TB";2928154.67643135;0;0;0;259549.702112819
"159_Parc Vauban Lille";3189104.70606914;0;0;0;0
"160_liaison poterne citadelle prairie";3187720.73525317;0;0;0;0
"160_plaine des vachers Lille";3188437.81976055;0;0;0;0
"161_Pyramide L.Jouhaux Lille";3188215.62969638;0;0;0;0
"163_Parc JB Lebas Lille";3190405.14799279;0;0;0;0
"164_cimetière de l'est";3188846.53684878;0;0;0;0
"165_Parc Matisse prairie 2015 Lille";3189710.42899663;0;0;0;0
"166_Square Foch Lille";3186423.12651992;0;0;0;0
"172_Avenue des chemins de fer industriels";3187983.72075401;0;0;0;0
"172_Avenue des magasins généraux";3186772.79613886;0;0;0;0
"172_Parc arboré";3188590.20812468;0;0;0;0
"172_Prairie";3187751.196759;0;0;0;0
"173_Allées Medhi Ben barka- Lycée Galilée côté Chandon habitation";3189209.42824718;0;0;0;0
"173_Allées Medhi Ben barka- Lycée Galilée côté stade de rugby";3189088.06677776;0;0;0;0
"177_Chenard et Walcker- prairie, côté habitations";3177366.58208665;0;0;0;9327.97145559365
"177_Chenard et Walcker- prairie, côté haie entreprise";3174956.07032056;0;0;0;11676.8417160772
"181_Transect Collège rue Louis Frébault";3188481.76625358;0;0;0;0
"182_Transect Hôtel de ville";3185886.49944472;0;0;0;0
"183_Transect 1";3188530.1930334;0;0;0;0
"19_chemin St Martin";2861402.37045233;327520.751802629;0;0;0
"19_terrain til";2860436.97280172;326655.079057662;0;0;0
"19_terrain TIL";2860342.25278622;328186.515067526;0;0;0
"19_terrain till";2861766.09005018;326443.516972592;0;0;0
"195_SCD TENNIS";3183479.04990229;2.77411663766158;0;0;0
"197_Grand désert";1618558.38491377;308087.650900521;1070464.2418567;0;191135.212616195
"200_Brétillod";2835314.08252446;0;0;0;350507.331254912
"201_3442";3184460.1155446;3467.70048366499;0;0;0
"205_Ile aux moineaux";2601734.39680748;61473.3273534798;339466.57236248;0;183929.279718004
"210_1 : Pelouse centrale";3097563.33319137;0;0;0;90519.8190069708
"210_2 : Anciens enclos";3109312.46708422;0;0;0;76895.1955699839
"210_3 : Bordure écoles";3085851.30507227;0;0;0;100703.509943065
"210_Zone 4 Prairie Chamaerops";3060764.10188692;0;0;0;125530.05137991
"211_1 : Entrée de service";2384515.56967888;0;317584.789618199;0;484827.154715757
"211_2 : Zone naturelle";2493154.65820324;0;352844.440566976;0;342507.296039847
"211_3 : Agrées + talus Oliviers";2363376.22779773;0;285986.382307034;0;537659.599782362
"236_CITEAU prairie paturée parking";1462681.36553752;1021492.94273539;0;0;702554.952866029
"237_CITEAU Prairie réaménagée";1471244.37897864;1024565.53455427;0;0;688792.989812846
"245_4442";3186762.08943799;236.693979816529;0;0;0
"245_5442";3185114.63099132;3399.02999208467;0;0;0
"251_Jardin de l'ile Mabon";2868560.68698422;0;0;0;317370.78544181
"251_Toit de l'école Aimé Césaire";2559337.16067314;0;0;0;626431.633904785
"253_50 otages";3187535.50859018;0;0;0;365.269430577125
"253_Cale de Ceineray";3182076.84585279;0;0;0;3634.6463870673
"253_Jardin à la française cour de la mairie";3176347.04162769;0;0;0;11061.1643086973
"253_jardins à quai Ceineray";3177898.51777349;0;0;0;6857.34071884758
"253_lande de la porte saint-pierre";3142624.29534633;0;0;0;43471.5046403496
"253_Parc Mercoeur";2861354.45752228;0;0;0;322907.043272692
"253_pied d arbre cours saint andre";3160199.20825107;0;0;0;23564.2422523937
"253_verger Duchesse Anne (dvant arret tramway)";2895207.66573731;0;0;0;290306.647958632
"259_bord de l Erdre St Donatien";3142323.74210361;0;0;0;41514.0620595079
"261_Cochennec";3188116.47250331;0;0;0;0
"273_gazon devant résidence val de moine";2986291.6650043;198254.327103681;0;0;0
"274_Zone 1";2310712.29258272;0;0;0;876390.859306037
"274_Zone 2";2103537.00715025;0;0;0;1085485.74307951
"274_Zone 3";1997220.38458739;0;0;0;1189120.61125664
"274_Zone 4";1990881.5019753;0;0;0;1195783.01760179
"274_Zone 5";1910121.32695864;0;0;0;1276468.59759315
"290_square Copin";2673220.04530549;91898.4292296295;422538.077970653;0;0
