"id_transect";"1";"2";"3";"4";"5"
"1_Cormailles - Long rue Ledru Rollin";73867822.057884;744736.85851203;0;0;1643536.4445553
"100_Pech David Château d";58789904.9531573;10581747.7352081;4792265.54937321;0;2090528.45518472
"101_caffarelli";69583690.3800796;3999136.26556335;567122.819847277;0;2104485.24934394
"101_Du barry 1";69994569.5376064;3679899.85986986;282788.987257174;0;2315833.25822263
"102_musee des augustins";70475515.3140799;2908099.51860699;874798.663022808;0;1995462.94387481
"1022_Jardin des plantes Lyon";71488886.0091326;599980.27233448;104564.50657255;0;4060860.86983852
"103_Ile du ramier";67892174.0216869;2936194.39838843;3425369.654583;0;2024829.41410705
"103_La plage";70343459.9856488;2115601.79555051;1974485.74933088;0;1739696.58696435
"1038_Epinay - Lihou";72953025.8105836;1228008.72066026;0;0;2118997.99931743
"104_Grande Plaine Nord";51989541.6106813;21670180.46187;1748370.85064939;0;848132.793691703
"104_Grande Plaine Nord bis";51908990.9338022;21621499.1937701;1833789.7134435;0;890216.019476579
"104_Grande Plaine Sud";51464902.765921;22013251.300206;2136464.32692962;0;631671.654794911
"1042_Gerland Berge";65722665.9090357;6747240.29187388;595625.675894283;0;3196171.58064743
"1042_Megaphorbiaie";66512736.1982496;5906631.10301416;503798.935075452;0;3318932.44439201
"105_PDBSE AUTOUR DU PLAN D'EAU";57337729.1371227;11410968.2954485;7506497.51777121;0;0
"105_PDBSE DEPUIS L'ENTREE VERS LE PLAN D'EAU";56734379.6427964;11507591.96707;8007765.5320563;0;0
"105_PDBSE NOUVELLES PLANTATIONS";57627320.3744277;11361308.0089676;7273540.22830113;0;0
"1054_Prairie centrale";34744810.2523686;6595051.0277502;32786183.5532441;0;2084981.6987538
"1056_Pépinière SEDIF";76073729.7861962;202022.88450949;0;0;0
"106_PDR PRAIRIE BOUCLE";63961296.2436782;8058605.54121693;4230914.61708644;0;0
"1063_Gabriel rosset";67194048.8740371;4936668.42608416;860279.881526276;0;3257172.3341752
"1064_Clos Layat Espace à vivre";71568110.8509218;859502.689615241;92901.8643816946;0;3773351.91108742
"107_PDC UGF1 DAGUIN";67420662.0193572;6526062.87647194;2239293.53730991;0;0
"107_PDC UGF2 ADR";66983363.4738575;6807422.12492161;2443923.58793129;0;0
"107_PDC UGF4 BRUYERES";66662577.9217439;7019846.14998294;2582958.58396576;0;0
"1072_le verger";73612947.2545576;892094.930219821;0;0;1775257.53973889
"1072_le Verger";73625630.7111292;892094.930219821;0;0;1775257.53973889
"1072_Le Verger";73600815.9018244;892094.930219821;0;0;1775299.57348942
"108_PDOD2V JARDINIERES";69954537.1832525;5502291.89073235;597230.940477769;0;190439.27536692
"108_PDOD2V THEATRE";69973086.3281544;5507153.28339062;633225.906873135;0;132390.888988035
"1081_gs Langevin";72422191.171769;1628211.01656399;474420.758378789;0;1763458.9692356
