"id_transect";"111";"112";"121";"122";"123";"124";"131";"132";"133";"141";"142";"211";"221";"222";"223";"231";"242";"243";"311";"312";"313";"321";"322";"323";"324";"331";"332";"333";"334";"335";"411";"412";"421";"422";"423";"511";"512";"521";"522";"523"
"1_Cormailles - Long rue Ledru Rollin";53676660.4873734;114694446.56314;27426195.5250929;9623208.2239468;1213082.40403715;6638950.68779102;0;0;0;12026931.7708889;6054972.22460716;940853.536447047;0;0;0;0;1194447.6864813;272945.275346802;1147890.57281354;0;0;0;0;0;259502.243839057;0;0;0;0;0;0;0;0;0;0;2365935.45228244;915015.745744317;0;0;0
"10_Malnoue Nord1";674766.678572051;113100965.835987;20987639.1987065;1585328.16614425;0;0;17002.3533417055;51949.0847430842;0;9551352.5873818;8404398.27045795;23951117.5098794;0;105757.538011033;0;2392384.11769072;3919143.39090315;1665435.19867872;49896920.5262578;0;0;0;0;0;1928381.90303118;0;0;0;0;0;0;0;0;0;0;0;274647.262663384;0;0;0
"100_Pech David Château d";2532088.24161009;95301637.9954751;23997510.5128347;2010391.08594303;0;5674172.90351227;567880.832981082;0;0;906924.140949383;3813195.0876662;60677238.6977682;585136.18034165;0;0;0;24534965.9918243;5409289.43805131;8804324.04498676;0;0;254746.129556102;335615.547641534;0;0;0;0;0;0;0;0;0;0;0;0;1854620.47633502;1213238.90317831;0;0;0
"100_peyre";4999272.35524981;91357823.0609139;16133296.0338602;1985338.50534268;0;2899699.03411951;567880.832981082;0;0;1434983.82667138;4444491.60228418;71460338.4666923;589049.590118084;0;0;527284.815719534;25507801.2938989;4222419.46973895;8389070.18864974;0;0;254746.129556102;0;0;319156.426211463;0;0;0;0;0;0;0;0;0;0;1920895.00705872;1382691.43367447;0;0;0
"1022_Jardin des plantes Lyon";594569.937502149;100341065.694636;39960584.7187767;2145685.70847817;1890782.00923727;458402.985150826;0;0;290382.996954479;10496933.3959404;5862341.48449519;11244140.8125971;0;2802416.30280445;0;11368460.0583918;18585922.4381936;5907534.34905975;20440202.2758583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4574224.74244366;1510473.9885747;0;0;0
"1038_Epinay - Lihou";34700084.2295094;106032414.218489;31613209.0179789;5832094.29258148;326468.924264153;5702416.04252342;737605.134893529;0;270226.953763517;12269284.5302397;5315281.04249796;7874553.76763601;0;1098781.8484405;0;1411569.85549122;7356107.78417137;796019.305203161;13721769.0918555;0;0;0;0;0;633674.035852878;0;0;0;0;0;0;0;0;0;0;2498162.39202184;267417.422794489;0;0;0
"104_Grande Plaine Nord";375404.051731824;88977745.7428839;24053714.0854664;1624371.68438631;0;1204375.326275;0;0;0;1699645.98019714;4443511.5815293;69461427.1145556;58466.866538512;0;0;458994.753112236;24518400.050252;5689147.91445123;12062299.6962085;0;0;43717.0766878062;335615.547641534;0;733786.411998253;0;0;0;0;0;0;0;0;0;0;2614983.06001519;0;0;0;0
"104_Grande Plaine Nord bis";543288.676404399;88651091.9177269;24009080.3028529;1631302.63241589;0;1076527.44041938;0;0;0;1635294.95262287;4270994.21371574;70250762.667378;105498.552579805;0;0;601680.260221993;24225763.6374396;5581026.49815928;11777115.0926924;0;0;74185.1035710376;335615.547641534;0;733786.411998253;0;0;0;0;0;0;0;0;0;0;2594708.91360226;0;0;0;0
"104_Grande Plaine Sud";2224468.541204;84350948.1971963;22103373.748505;1801573.47928687;0;374226.626228711;0;0;0;1212631.15302093;4106460.52728366;76152768.1120754;214682.348499802;0;0;1201885.82038354;22774676.5497004;7007731.12273047;10880472.4152691;0;0;137004.073922048;335615.547641534;0;733786.411998253;0;0;0;0;0;0;0;0;0;0;2769158.45611754;0;0;0;0
"1042_Gerland Berge";5426287.88420322;95968444.7101623;39389758.0545856;2861286.1652537;0;1004769.30966611;126.869071205479;0;0;9402922.4210983;4513891.1444801;16716681.0367871;155137.903225957;10421554.6358439;0;11058296.766602;20681065.7818094;3397732.95224453;12431746.5593409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4982864.88668812;0;0;0;0
"1042_Megaphorbiaie";4803054.12424543;96812114.4385294;40012012.7839946;2800967.47756285;0;1004769.30966611;0;0;0;9685310.91529422;4588126.9790705;16302982.1553701;40395.8077649343;10555523.2712292;0;11067421.6891064;19977619.0889464;3625615.71082889;12007113.4801901;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4910942.04337736;0;0;0;0
"105_PDBSE AUTOUR DU PLAN D'EAU";17298862.8249105;85300555.9826917;24983306.0811951;927857.704752985;0;274658.323203304;0;0;331132.482800086;3372856.82957552;5293160.93324948;3540834.63304649;1754912.21840638;0;0;7206708.78535318;11216065.1434432;39864.2285626457;9297613.41023568;29212193.4617517;17004095.6944183;0;159922.050604631;0;17596932.3292498;0;0;0;0;0;0;0;0;0;0;1468407.59683231;1992318.11968078;0;0;0
"105_PDBSE DEPUIS L'ENTREE VERS LE PLAN D'EAU";17361390.1202585;85698312.8540147;24332039.9071141;739978.833761796;0;223417.851633807;0;0;331132.482800086;3348085.87159833;5310309.31516451;3572075.50422899;1749901.30123371;0;0;7055779.78995695;11143072.6572446;32158.5114925848;9362732.86913231;29659151.8060805;16906465.282929;0;101236.780195366;0;18112233.3295513;0;0;0;0;0;0;0;0;0;0;1388843.53330177;1862186.31569645;0;0;0
