id_transect,axe1_1000,axe2_1000,axe3_1000,axe4_1000,axe1_5000,axe2_5000,axe3_5000,axe1_10000,axe2_10000,axe3_10000
103_La plage,-0.3678977675721852,1.45341780386343,0.07229580504907154,-0.23457112767293586,-1.861493032063584,0.271348087571636,0.15129296749694798,-1.2933885289295508,0.17557837479742502,-0.3173640142136913
105_PDBSE NOUVELLES PLANTATIONS,0.27968869849310635,1.8874917914642402,-2.5340750173575812,-0.9698876576040604,-0.49102597452532015,-0.5972951703030837,0.8251555392435858,-0.08356533495319286,1.9351255260129454,1.125299247943197
108_PDOD2V THEATRE,-1.4352438780159709,-0.9157978830005747,0.024664846311051678,0.20172691665685882,-1.9187895612787693,-0.31726228948157836,-0.07969246045691132,-1.1095691338304232,0.819406778025846,-0.5546759501785263
109_PDB CHATEAU,-0.989193836399859,-0.1859333083414709,-0.6415150619354871,-0.10351755289567943,-2.0331066394629396,-0.17995574243794196,-0.1770582196802585,-1.0988840961471609,0.8937003023972698,-0.5906139461285426
112_PDT AIRE DE JEUX,-0.7471771355271667,-0.6655170493715513,-0.2842617653658671,-0.29292186349109717,-2.188930357977133,0.11680590010461481,-0.25462526836645505,-0.9078920632789839,1.0131958852811696,-0.46138198281124787
1147_Transect 2021,-1.5039595084119974,-1.0282361739369883,0.12729228287955066,0.24875093681883056,0.0024108653424473473,1.0943248858810548,-0.5463434217518991,-0.7812817052247876,-0.6887071893018786,0.46220105413046947
1148_Transect 2021,-0.18707682502165576,-0.6874445167955838,-0.0024888683576199757,-0.25352998564491175,0.2871998751156866,0.6304194026872848,-0.6541081228593115,-0.42089067995298773,-0.605775733169625,0.5894297622073503
114_BDB PELOUSE TERRAIN DE BICROSS,-0.4993289836702091,-1.1808707253906743,0.6021138882738989,0.15717417635775002,-1.919714094509679,-0.28813216052838275,-0.019473746172345742,-0.4411669640819623,1.525111562054259,0.47088153632309754
1164_Transect 2021,-0.6679396465336414,0.37251869381845554,-1.0348694223235557,-0.30787459114840227,-0.1552251014336225,2.097382397196143,-0.48931218741504223,1.1073492405421506,-1.9191863262768496,0.007827961321460136
1168_Transect 2021,-1.4623743980217205,-0.873359092785917,0.29410092694841955,0.2613037485981498,-0.13033105934354428,1.1538529683086791,-0.626103814508857,0.9601575403637149,-1.5264177644765653,0.47023116448434
1261_Pelouse centrale de la Plaine de Chatenay - Parc de Sceaux,-1.595970583105869,-1.1787924291321532,0.26471168334669,0.31171667847895934,-1.612814862223251,-0.8061053975909359,0.8781184888991642,-2.407290762731339,0.6841947878804555,-0.03661734648124425
1268_Coulée verte,-0.6512064295223817,-0.7539291754054915,-0.2261255395894915,-0.3652648963049652,-0.24872224246429175,-0.972992854256028,-0.9315103250988361,-1.6315231626254338,-0.4575409217847627,0.11661912800633849
1269_Mosaïculture,1.5984928227478108,-0.39559922900873845,-0.16627404738533408,-1.1034569149154958,-0.046827396406867415,-1.268402147817795,-0.7815160974368892,-1.6601803405164701,-0.4725730300762138,0.23175536790328
1270_Jardin des Perspectives,-0.2090795022501266,-0.2949873767013699,-0.3292850697005268,-0.2370936645990882,-0.22961143200761344,-1.0807335373213038,-0.7785008428104999,-1.6708400401334955,-0.4908832152067893,0.22974272695702594
1290_Prairie verger communal,3.467633397614513,-1.3240913925053714,0.3026445735094725,-0.21268173415776856,1.8128220000779913,-1.676240612276117,-0.6976486495128618,-0.12433813273349067,-1.4364742593468254,0.3876338206639953
1326_automne flamboyant arboretum,-1.595970583105869,-1.1787924291321532,0.26471168334669,0.31171667847895934,-1.335683865332867,-0.9545410587626937,1.4293556695831346,-2.196380067010873,0.6175847229862096,-0.05181958226823601
1351_1 - prairie tondue,0.5450737767116453,1.4084991583469346,-0.7218207855300184,-0.5643854524254782,0.8440452530782946,0.24641393559016342,0.9829119815079674,2.0395962576469064,2.232375265242731,-0.2613109750249945
1357_2-2,-0.9553465266656397,-0.13054949482804867,-0.6920663355357284,-0.12668020986611547,-1.438768698672479,-0.6702438312151261,-0.7907803835353739,-1.5548440410573,-0.21970381507516026,0.2374634324068872
1357_4-2,-1.5097641472612744,-1.0377342119809407,0.1359615652811487,0.252723212889183,-1.5234648126548058,-0.6401869408884876,-0.7145710008487913,-1.7351715201664597,-0.10143551214924042,0.18617120640617293
136_château coquelle Dunkerque,0.6974419664171865,-0.637988749721413,0.29484932761694743,-0.29028896493715817,2.3294866175394815,4.790702746459088,-2.5482383094831476,1.1434074444937041,-0.7876230844851391,2.462117905316248
137_parc Ziegler,-0.797742727919449,2.5527915385002227,0.6605433550209594,-0.8202927605422293,1.099843879349848,4.104807023897593,-1.684767426020412,1.083697265487689,-0.6433266075854367,2.4587160247594335
139_Parc des sculptures canal Dunkerque,-0.4696281025643569,3.1072489877350202,0.6236302882308113,-0.8899922588353262,0.7778460632980928,3.9262879277427327,-1.4742737661233871,1.0772253845881417,-0.6287721846935753,2.4561197439495515
140_4 écluses Dunkerque,-0.9271202434660427,-0.08436327745423311,-0.7342225534432959,-0.14599624178819265,0.49657848038075425,1.8486480331365376,-1.4309596820564712,1.3461599832128135,-0.930957549913927,2.6105238035927973
1479_PRESBYTERE PRAIRIE,1.6985653152141609,-0.9916108103244201,1.0890710143340532,0.522112752694617,1.7765076642996545,0.4115141387417693,1.7742227364599852,1.4022933365439803,2.0016483373519853,2.164004705259524
159_Parc Vauban Lille,-0.06004356732412603,1.334420469625446,-2.0292096774487107,-0.7393609663185964,-1.6266897088712344,-0.19340791631772503,-0.32597242893186335,-0.7021415059227047,-1.162056820188441,0.3578146947764552
