id_transect,axe1_1000,axe2_1000,axe3_1000,axe4_1000,axe1_5000,axe2_5000,axe3_5000,axe1_10000,axe2_10000,axe3_10000
105_PDBSE NOUVELLES PLANTATIONS,-0.9288014891716645,2.083063799090684,0.15128233777539496,-2.122724182237426,-0.5510965417356762,0.24587658056003742,-0.8111726574226178,-0.4299113169707212,1.8784749751689456,-0.11480406020298801
106_PDR PRAIRIE BOUCLE,-1.2098499533058977,0.12064323102129877,0.018948399685994946,-0.47826036587817755,-1.032391282725657,0.14075312340801585,-0.7106627722646682,-0.6523218345565556,1.3911597456215328,-0.18393889831360447
1081_gs Langevin,-0.447304562803881,-1.0018271622359667,-0.43338709084585125,0.6818390513345253,-1.7307706461199017,0.18295651696382778,-0.26832592764083757,-2.478583000318215,0.1667617413367909,0.1385830325334068
109_PDB PARCELLE NORD PRAIRIE,-1.3647749395755728,-0.96545536102506,-0.05392863619650831,0.43145371571891994,-1.6244624173889441,0.10707207338177789,-0.3193276288279648,-0.8768760438193766,0.6914053325301206,-0.21668915453516707
10_Malnoue Nord1,0.546988613111848,-0.18776058683995392,1.051101995572098,-1.4145384949618056,-0.9534579158978466,0.345338752008187,-0.8908485954176768,-0.705459874241197,0.7871343574290258,-0.5102113543596241
110_PDL ORCHIDEES PROTEGEES,-0.08076297479712559,-0.9636766526330375,-0.6553046415602142,0.6410857707577997,-1.825321576832887,0.15937553190766054,-0.30084723345944225,-0.6663861862486634,0.8532989780869995,-0.2744923449466664
111_Lilas - Prairie pâturée,-0.356864284096585,-0.9752403661427205,-0.4670092721329756,0.6802229582640507,-1.8113529925082401,0.21358805104499723,-0.10963789234836041,-2.451847874342997,0.14160499586528769,0.10848640190169062
111_Lilas - Talus long rue Paul Armangot,-0.34113676160179657,-0.9706169346407648,-0.472856153855096,0.6799419204291052,-1.8206094808773141,0.17947896584431441,-0.17665896602525807,-2.5072140841819652,0.15047272338010775,0.14403469412382097
1122_Bassin de rétention,-0.21510105994751888,-0.3336043810061454,-0.3908252111826351,1.0649158369013207,1.319915442090045,-0.7643787350510571,4.427046197400216,1.5002028851676115,-1.645555121170239,1.8445086138152136
1137_montreau gestion 3,-1.2334704860323888,-0.9231433726046087,-0.10227705294455207,0.425871762953177,-1.8034349178310247,0.22810422521139234,-0.6466001276675714,-2.6752849764961772,0.18607574966227214,0.10058263692906921
113_PSB PRAIRIE BOUCLE,-0.19347898271066113,-0.37801179524378203,-0.3226405127120017,0.07493511636571852,-0.31891518688084647,0.6244796212697616,-0.7464262673772326,-0.16360863420871388,2.1969636043429426,-0.16512485118294432
1140_Prairie,3.2491093285575765,-0.18522002456780415,-2.13980151515072,0.4831712430431685,3.076755542118076,-1.8072235698377055,0.6213100779454053,2.2109619355982146,-1.1000784505778727,-0.6788736208018216
1141_Prairie du lavoir,3.2305782252618496,-0.17180395227938033,-2.109703486542895,0.49276660942203554,3.065147336328714,-1.8078879836430755,0.6257150017366675,2.2111499668511634,-1.0659023805810757,-0.7152790595161647
1142_Centre parking,3.268738844023519,-0.19943132080177106,-2.171683573580988,0.47300712114877597,3.0465265428988277,-1.809032705311293,0.6302146901290713,2.198594190076954,-1.0505972456395092,-0.7379656326414085
1145_Transect 2021,-1.4103464139434283,-1.284933292507688,-0.07536555255643951,0.6990478136743029,-0.06718051183651187,-0.3999894634542705,4.674606692479114,0.8518708658281575,-1.8337091820696714,3.2424063710987108
1149_Transect 2021,-0.4311430297009384,-0.5271871776794714,-0.41810350422845877,0.22559288744433958,0.07856529715201957,-0.3153285110515936,1.948162423876707,0.9569641498821043,-1.7424264663234608,2.8520147324337026
114_BDB PRAIRIE RONCIER SUD TERRAIN BICROSS,-0.653249044780596,-1.0733094596372201,-0.37028573546127924,0.6801459959425525,-1.583482052249639,0.15851170478491527,-0.37813688122873285,-0.5165103349042003,1.283181790446355,-0.13966256331097818
1150_Transect 2021,-0.8943475040484007,0.9090348102628888,0.14510929220666954,0.9459987189799224,-0.3155287468606881,-0.3584420778490123,4.595696074714601,0.8928433684579936,-1.7395900388033254,3.3043642589426945
1152_Transect 2021,0.2593375395295535,0.17429522755281582,-0.6909419613219587,-0.318234899753884,0.27453781702255964,-0.37324042770520427,2.4952577968125897,0.8901739193259505,-1.8258748151895228,2.877685862991046
1153_Transect 2021,0.46856131086869135,0.10851832442993446,-0.7976932482019456,-0.22707968499471207,0.25884409079762677,-0.36266084656356223,2.35641110088698,0.8936568103431967,-1.8213336931169057,2.8558510042602485
1154_Transect 2021,-0.2768621991264397,4.279968109271233,0.4206005293312677,-0.47459353889021183,-1.0009293233864023,-0.19963358140441764,4.09252142159621,1.023205007405455,-1.306824522470581,2.7624796938797753
1157_Transect 2021,0.33804409279186537,-0.8333728282811113,-0.8021416153819436,0.6371524897342363,-0.04023873360817199,-0.2512593522574171,0.7810711710450469,1.0582698086200175,-1.6297652869307417,2.6798814342819073
1158_Transect 2021,0.0904480375157071,-0.8888387265073125,-0.6887852742811152,0.6500829844856685,-0.07611952162570934,-0.24670413422193352,0.7695732596867622,1.0700869992184963,-1.619932062993951,2.6901508485727406
1159_Transect 2021,-0.5056254001483013,3.718447725219848,0.32928256982482423,-1.5305941869659796,-0.9677101400677148,-0.2147368914146756,3.752164388996816,1.0556214314128614,-1.427376176164844,2.9639190337712846
115_CTE PRAIRIE MARCEL DASSAULT,-0.3607454363965798,0.8273562223281958,0.5038569000552765,-1.5665907881283265,-0.33128407146325495,0.3348407889980141,-0.9044980078908234,-0.18752718496295365,2.2204071303973185,-0.007464292269400863
