"Amaryllis","Argus vert","Azuré des nerpruns","Azuré porte-queue","Belle-Dame","Brun des pélargoniums","Carte géographique","Citrons","Demi-Deuil et Echiquiers","Flambés","Gazé","Grand Nacré et Tabac d'Espagne","Grande Tortue","Machaons","Mars changeants","Myrtil","Paon du jour","Petites Tortues","Procris","Robert le diable","Silène","Souci","Tircis","Tristan","Vulcain"
0,0,0,0,0,0,0,0,2.11793468580956,0,0,0,0,0,0,3.17690202871434,0,0,1.05896734290478,0,0,2.11793468580956,0,0,0
0,0,0,0,0,0,0,0.308438110929516,0.308438110929516,0.616876221859032,0,0,0,0,0,0,0,0,3.39281922022468,0,0,0.616876221859032,0.616876221859032,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77594299836565,0,0,1.54219055464758,0.925314332788548,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3.12239368792879,1.56119684396439,0,0,0,0,0,0,0,0,0,0,0,0,10.9283779077508,0,3.12239368792879
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9283779077508,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.89486769393332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5.68460308179996,1.89486769393332,0,0,0,0,0,0,0,0,3.78973538786664,0,0,0,5.68460308179996,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4743384696666,0,0,0,0,0,3.78973538786664,3.78973538786664,0,0
0,0,0,0,0,0,0,0,5.68460308179996,0,0,0,0,0,0,0,0,0,17.0538092453999,0,0,1.89486769393332,7.57947077573328,0,0
0,0,0,0,1.89486769393332,0,0,0,0,1.89486769393332,0,0,0,0,0,0,0,0,11.3692061635999,0,0,20.8435446332665,3.78973538786664,0,0
18.9486769393332,0,1.89486769393332,5.68460308179996,0,0,0,5.68460308179996,7.57947077573328,0,0,0,0,0,0,0,0,0,0,0,0,3.78973538786664,1.89486769393332,0,0
0,0,0,0,0,0,0,0,0,0,0,0.795704196515718,0,0,0,0.795704196515718,0,0,0,0,0,0.795704196515718,0,0,0
0,0,0,0,0,0,0,0,3.8678386661967,0,0,0,0,0,0,2.90087899964752,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.966959666549174,0,0,0,0,0,0,3.8678386661967,0,0,0,0,0,0,0.966959666549174,0,0
3.37167383098142,0,4.33500921126182,0,0,0,0,0,0,0,0,0,0,0,0,0.963335380280405,0.481667690140202,0,0,0,0,0,2.89000614084121,0,0
0,0,1.15968337921396,0,0.386561126404653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386561126404653,0.386561126404653,0,0
0,0,0.104564022904019,0,0,0,0,0,0,0,0,0,0,0,0,5.75102125972106,0.104564022904019,0,0,0,0.104564022904019,0.941076206136173,0,0,0
0,0,0.709064750829152,0,0,0,0,0,0,0,0,0,0,0,0,9.92690651160813,0,0,0,0,0,0,2.12719425248746,0.709064750829152,0
0.561669835941385,0,0,0,0,0,0,0.561669835941385,0,0,0,0,0,0,0,6.74003803129662,0,0,0,0,0,0,1.68500950782415,0,0.561669835941385
0,0,0,0,0,0,0,0.409770239783555,0,0,0,0,0,0,0,1.22931071935067,0,0,0,0,0,0,0.409770239783555,0,0.409770239783555
11.0327505702712,0,0,0,1.00297732457011,0,0,0,0,0,0,0,0,0,0,1.00297732457011,0,0,0,0,0,0,4.01190929828043,0,1.00297732457011
3.98376656948318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99188328474159,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.00087263643825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99749560314587,0,0,0,0,0,0,0,0,4.99749560314587
2.00059379587345,0,0,0,0,0,0,0,0,0,0,0,0,3.00089069381017,0,3.00089069381017,0,0,0,0,0,0,0,0,1.00029689793672
8.00087910504891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.003846084589,0,2.00021977626223,0,0,0,0,1.00010988813111,0,3.00032966439334
0,0,0,0,0.996598278645445,0,0,0,0,0,0,0,0,0,0,6.97618795051812,0,0,0,0,0,4.98299139322723,0,0,0
0,0,0,0,6.00218674457929,0,0,0,2.00072891485976,0,0,0,0,0,0,76.027698764671,0,0,0,0,0,0,0,0,2.00072891485976
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9409281161526,0,0,0,0,0,0,0,0,0
0,0,0,0,2.00881432846628,0,0,0,0,0,0,0,0,0,0,1.00440716423314,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.5755073696781,0,0,0,0,0,0,3.15101473935621,0,0,1.5755073696781,0,0,0,0,0,1.5755073696781
1.5755073696781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72652210903431,0,0
6.30202947871241,0,0,0,0,0,0,4.72652210903431,0,0,0,0,0,0,0,4.72652210903431,0,0,0,0,0,0,6.30202947871241,0,0
7.87753684839052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5755073696781,1.5755073696781,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00949215235736,0,0,0,0,0,0,1.00474607617868
5.99757603304984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99757603304984,0,0,0,0,0,0,0,0,0.999596005508307
12.0144267148826,0,0,0,7.00841558368154,0,0,0,0,0,0,0,0,1.00120222624022,0,103.123829302743,3.00360667872066,1.00120222624022,0,0,0,0,0,0,4.00480890496088
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.712530313220368,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.42506062644074,0,0,0,0,0,0,0.712530313220368,0,0,3.56265156610184,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00364583247686,0,0,0,0,0,0,8.02916665981489,0,0
2.99794857967649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.991794318706,0,0,0,0,0,0,0,0,0.999316193225497
0,0,0.386259853020379,0,0,0,0,0,1.54503941208152,0,0,0,0,0,0,0,0,0,1.15877955906114,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.386259853020379,0,0,0,0,0,0.772519706040759,0,0,0.386259853020379,0,0,0.386259853020379,0,0,0
