id_transect,transect_coordonnees,annee,id_transect_annee,geometry,longueur_transect,longueur
167_Port Darblay,"{""type"": ""LineString"", ""coordinates"": [[2.4837669435306733, 48.59022468744044], [2.483592599946619, 48.590088080024245], [2.4835148158771956, 48.590008244352845], [2.483496040414021, 48.589924860290346], [2.4834719005353634, 48.5898716363515], [2.4834155741458397, 48.58980244514839], [2.4833512011330914, 48.58972260901976], [2.483327061254433, 48.58961970894065], [2.483327061254433, 48.589529227663675], [2.483327061254433, 48.58949197061948], [2.483345836717608, 48.58943874622469], [2.483498722630746, 48.589413908153794], [2.4836167398252766, 48.589401489113776], [2.483823269920197, 48.589394392515565], [2.4839117828116026, 48.58939971495987], [2.483919829443811, 48.58949551890889], [2.4839037361883785, 48.589625031361216], [2.4839037361883785, 48.589781155519695], [2.483922511651553, 48.58988760353785], [2.4839520159546775, 48.58997985830674], [2.483960062577902, 48.59009162827774]]}",2021,167_Port Darblay_2021,,,216.09185250108814
168_Parc François Mitterrand,"{""type"": ""LineString"", ""coordinates"": [[2.500753541596519, 48.610387652509125], [2.5005711513802567, 48.61023868569319], [2.5004155832593775, 48.610125186872644], [2.5001956421257487, 48.61000814094248], [2.4999113279614056, 48.60983789184164], [2.499680715012882, 48.60975653934422], [2.4993803076020886, 48.609657226941174], [2.4988975099750337, 48.609536633044634], [2.498564916062358, 48.60944441399208], [2.498178677958917, 48.609373476141094]]}",2021,168_Parc François Mitterrand_2021,,,225.1435353187033
211_1 : Entrée de service,"{""type"": ""LineString"", ""coordinates"": [[7.2319801836772815, 43.68734411102928], [7.231969454837331, 43.68739453952522], [7.231947997166416, 43.687423632866974], [7.231851437642802, 43.6875186710214], [7.23172269160832, 43.687574918020516], [7.231534936976575, 43.68770098869575], [7.2314142375743025, 43.68780766366603], [7.231314995842946, 43.687922096614734], [7.231215754102607, 43.68800549675822], [7.231164792137551, 43.68806368283495], [7.231108465748027, 43.688150961844215], [7.231041410518553, 43.68819557107265], [7.230950215410423, 43.68820526872095], [7.23080269392175, 43.68823048261223], [7.230703452181411, 43.68823048261223], [7.230620303705489, 43.68823824073298]]}",2021,211_1 : Entrée de service_2021,,,157.7445824992046
211_2 : Zone naturelle,"{""type"": ""LineString"", ""coordinates"": [[7.230452893714055, 43.6876471825377], [7.2303751096536155, 43.68768403394936], [7.230305372225383, 43.6877267039736], [7.2302114949095095, 43.68780428575513], [7.2301176175936375, 43.687901262845806], [7.230037151316473, 43.68800017932235], [7.229975460511466, 43.6880932770237], [7.229940591792858, 43.68816116067722], [7.229919134121943, 43.6882251651963], [7.229900358658767, 43.68829886728678], [7.2299030408665095, 43.68835123449835], [7.229911087498718, 43.6884036016707], [7.229911087498718, 43.688428815478595], [7.229860125524677, 43.6884423921395], [7.229838667853762, 43.68841523881462], [7.22982525680607, 43.68838032737608], [7.229814527975103, 43.68829692775377], [7.2298359856460195, 43.68824650002299], [7.229860125524677, 43.68819025365363], [7.229892312035543, 43.68812237003303], [7.2299030408665095, 43.688064184006734], [7.229929862961893, 43.688013756080274], [7.229967413888241, 43.68796914671663], [7.230015693645557, 43.68791483962612], [7.230077384450563, 43.687864411574104], [7.230152486303261, 43.68780622530407], [7.230206130485044, 43.68774028079343]]}",2021,211_2 : Zone naturelle_2021,,,193.83309429838718
211_3 : Agrées + talus Oliviers,"{""type"": ""LineString"", ""coordinates"": [[7.230498605304754, 43.68757203313308], [7.230560296118744, 43.6874769950632], [7.2306058936683195, 43.68743238530686], [7.230662220057843, 43.68738001728659], [7.230715864239624, 43.6873470448028], [7.230769508421407, 43.687308253632125], [7.230788283884582, 43.68722873164147], [7.230785601676839, 43.687189940387796], [7.230788283884582, 43.6871492095454], [7.230807059347756, 43.68711429736997], [7.23087947898373, 43.68708132474662], [7.230914347702337, 43.687054170805595], [7.230943852005461, 43.687015379439025], [7.230973356299602, 43.686947494488784], [7.231002860602726, 43.68690870305323], [7.2310216360659005, 43.686854395002605], [7.231102102334083, 43.68676711410673], [7.231112831174032, 43.686712805927904], [7.231158428723605, 43.68665461854075], [7.2311691575635555, 43.68657509568356], [7.231238894991788, 43.68650914981942], [7.2313300900999185, 43.686470358100394]]}",2021,211_3 : Agrées + talus Oliviers_2021,,,145.7776467270637
210_1 : Pelouse centrale,"{""type"": ""LineString"", ""coordinates"": [[7.291720140109078, 43.70067663978789], [7.291492152343241, 43.70066694414967], [7.29128294004058, 43.70065530938301], [7.2911246897029764, 43.70062428333189], [7.290859151010791, 43.70055253552476], [7.290797460205783, 43.70051181375713], [7.290762591487176, 43.70044200494922], [7.29074113381626, 43.70036250037255], [7.2907920957903, 43.700279117412485], [7.290832328924391, 43.700199612619826], [7.2910442234347945, 43.700143377460506], [7.291266846785148, 43.70012204686589], [7.291435825953719, 43.700135620879756], [7.291508245598675, 43.70017052547549], [7.2915940762823395, 43.70020930833364], [7.291666495927296, 43.70026166515202], [7.291704046853646, 43.70030626536601], [7.291690635805955, 43.700335352444505], [7.291730868940044, 43.70041873532636], [7.291787195329567, 43.7004788484992], [7.291824746255918, 43.70053702247461], [7.2918488861345745, 43.70061167899283], [7.291805970792742, 43.700649492002086]]}",2021,210_1 : Pelouse centrale_2021,,,236.16811449623043
210_2 : Anciens enclos,"{""type"": ""LineString"", ""coordinates"": [[7.2912656197134185, 43.70075081949858], [7.2911556491421115, 43.70075857599325], [7.291091276129364, 43.70084001916563], [7.291056407410758, 43.70089237543325], [7.291016174276667, 43.700904010153884], [7.290919614753052, 43.700904010153884], [7.290825737437178, 43.70089625367155], [7.290721131281357, 43.70086716686519], [7.290603114086826, 43.700843897407324], [7.290536058857353, 43.70082062794693], [7.290452910381428, 43.7008089932101], [7.290412677247339, 43.70079735847102], [7.290329528771416, 43.70079735847102], [7.2902436980787675, 43.70079348022632], [7.290187371689244, 43.70079348022632], [7.290133727507461, 43.70078572372967]]}",2021,210_2 : Anciens enclos_2021,,,102.25400053949333
210_3 : Bordure écoles,"{""type"": ""LineString"", ""coordinates"": [[7.292931499584756, 43.700124010442345], [7.292851033316573, 43.7000542011829], [7.292816164597967, 43.70001347907681], [7.2927491093684935, 43.69997469609848], [7.2926686431003125, 43.699912643269286], [7.292561354736747, 43.69986998191481], [7.29247284184534, 43.69980986813798], [7.292397739992643, 43.699767206703875], [7.292354824650811, 43.69974199766922], [7.292293133836821, 43.699767206703875], [7.2922636295426795, 43.6998137464463], [7.292266311750421, 43.69989713005358], [7.292365553481778, 43.700046444597106], [7.292435290918991, 43.70006001862808], [7.292534532650348, 43.70007747094724], [7.292623045550738, 43.7001356453121], [7.292674007515796, 43.70018994133678], [7.292711558442143, 43.700246176452424], [7.292730333905318, 43.70039549012669], [7.292703511818918, 43.70045754245617], [7.29267668973252, 43.70052347298382]]}",2021,210_3 : Bordure écoles_2021,,,172.01993420811164
210_Zone 4 Prairie Chamaerops,"{""type"": ""LineString"", ""coordinates"": [[7.291269, 43.699849], [7.291349, 43.699706], [7.29143, 43.699616], [7.29165, 43.699756], [7.291274, 43.699865]]}",2021,210_Zone 4 Prairie Chamaerops_2021,,,85.2194372177324
274_Zone 1,"{""type"": ""LineString"", ""coordinates"": [[7.272012039188332, 43.69760300381802], [7.270697756766112, 43.69726557745203]]}",2021,274_Zone 1_2021,,,112.12423398933991
