"id_transect_annee","transect_coordonnees","transect_type_prairie","transect_paturage_prairie","transect_rythme_fauchage_prairie","amendements","semis_sursemis","duree","longueur_transect","geometry"
"111_Lilas - Talus long rue Paul Armangot_2015","{""type"": ""LineString"", ""coordinates"": [[2.381163239483815, 48.77952470846121], [2.3821395635599094, 48.780196340249844]]}","Prairie semée","Non pâturée","Fauche tardive","[]","Oui",3600,103.416929846592,c(2.38165140152186, 48.7798605243555)
"111_Lilas - Talus long rue Paul Armangot_2022","{""type"": ""LineString"", ""coordinates"": [[2.381163239483815, 48.77952470846121], [2.3821395635599094, 48.780196340249844]]}","Prairie sans distinction","Non pâturée","Fauche tardive","[]","Non",2340,103.416929846592,c(2.38165140152186, 48.7798605243555)
"1122_Bassin de rétention_2021","{""type"": ""LineString"", ""coordinates"": [[-0.268111, 49.284139], [-0.266882, 49.283862], [-0.265348, 49.28367]]}","Prairie humide","Non pâturée","Fauche tardive","[""espaces-verts.amendements.aucun""]","Non",2700,207.612015601238,c(-0.266780333333333, 49.2838903333333)
"1137_montreau gestion 3_2022","{""type"": ""LineString"", ""coordinates"": [[2.473868, 48.865337], [2.474143, 48.865029], [2.474615, 48.864535], [2.474958, 48.864411], [2.475224, 48.864448], [2.4754, 48.864699], [2.47564, 48.86475], [2.475846, 48.864625], [2.475941, 48.864747], [2.476138, 48.86488]]}","Prairie sans distinction","Non pâturée","Fauche tardive","[""espaces-verts.amendements.aucun""]","Non",2100,258.691299174557,c(2.4751773, 48.8647461)
"113_PSB PRAIRIE BOUCLE_2020","{""type"": ""LineString"", ""coordinates"": [[-0.6895707609510404, 44.820930185233074], [-0.6879399778715785, 44.821759680816726], [-0.686673975215658, 44.82127263898091], [-0.6858478548359773, 44.820869304350296], [-0.6843994619727776, 44.82013872878085], [-0.6850217344652797, 44.81972016568932], [-0.6867705347392724, 44.820207220633336], [-0.6885729791950471, 44.82040508553148], [-0.6895278456092081, 44.82066383090826], [-0.689581489782007, 44.82088452457542]]}","Prairie sèche (calcicole)","Non pâturée","Plusieurs fauches","[]","Non",3540,956.351881103421,c(-0.687390661463785, 44.82068513655)
"1140_Prairie_2023","{""type"": ""LineString"", ""coordinates"": [[-4.147967, 48.581214], [-4.1489, 48.582322]]}","Prairie semée","Non pâturée","Plusieurs fauches","[""espaces-verts.amendements.engrais-organique""]","Non",1980,141.0308436332,c(-4.1484335, 48.581768)
"1141_Prairie du lavoir_2023","{""type"": ""LineString"", ""coordinates"": [[-4.148479, 48.57878], [-4.147937, 48.579042], [-4.147958, 48.578339], [-4.147411, 48.578613]]}","Prairie sans distinction","Non pâturée","Plusieurs fauches","[""espaces-verts.amendements.aucun""]","Non",2400,178.040538410604,c(-4.14794625, 48.5786935)
"1142_Centre parking_2023","{""type"": ""LineString"", ""coordinates"": [[-4.144257, 48.57835], [-4.143045, 48.577385], [-4.14209, 48.576689]]}","Prairie sans distinction","Non pâturée","Fauche tardive","[""espaces-verts.amendements.aucun""]","Non",2160,244.03919633798,c(-4.14313066666667, 48.5774746666667)
"1145_Transect 2021_2021","{""type"": ""LineString"", ""coordinates"": [[0.087998, 49.511039], [0.088443, 49.511098], [0.088819, 49.511648]]}","Prairie sans distinction","Non pâturée","Non fauchée","[""espaces-verts.amendements.aucun""]","Non",1800,99.7031513577453,c(0.08842, 49.5112616666667)
"1149_Transect 2021_2021","{""type"": ""LineString"", ""coordinates"": [[0.115078, 49.525799], [0.115749, 49.52659]]}","Prairie sans distinction","Non pâturée","Non fauchée","[""espaces-verts.amendements.aucun""]","Non",1800,100.407489501046,c(0.1154135, 49.5261945)
"114_BDB PRAIRIE RONCIER SUD TERRAIN BICROSS_2017","{""type"": ""LineString"", ""coordinates"": [[-0.644696448318074, 44.81581703389918], [-0.6447514336037268, 44.8159640169202], [-0.6446508507595168, 44.816050113595196], [-0.6445180814224072, 44.81608103225395], [-0.6444282274181468, 44.81610053478755], [-0.6443719010286231, 44.81612812372548], [-0.6443370323100157, 44.81616712875423], [-0.6445569734526271, 44.81629460842152], [-0.6446857194781243, 44.81644111454726]]}","Prairie sans distinction","Non pâturée","Plusieurs fauches","[]","Non",900,99.9128124392178,c(-0.64455518531014, 44.8161159674338)
"114_BDB PRAIRIE RONCIER SUD TERRAIN BICROSS_2022","{""type"": ""LineString"", ""coordinates"": [[-0.644696448318074, 44.81581703389918], [-0.6447514336037268, 44.8159640169202], [-0.6446508507595168, 44.816050113595196], [-0.6445180814224072, 44.81608103225395], [-0.6444282274181468, 44.81610053478755], [-0.6443719010286231, 44.81612812372548], [-0.6443370323100157, 44.81616712875423], [-0.6445569734526271, 44.81629460842152], [-0.6446857194781243, 44.81644111454726]]}","Prairie sans distinction","Non pâturée","Plusieurs fauches","[]","Je ne sais pas",900,99.9128124392178,c(-0.64455518531014, 44.8161159674338)
"1150_Transect 2021_2021","{""type"": ""LineString"", ""coordinates"": [[0.092392, 49.502652], [0.093702, 49.502945]]}","Prairie sans distinction","Pâturée","Non fauchée","[""espaces-verts.amendements.aucun""]","Non",1800,100.050113037669,c(0.093047, 49.5027985)
"1152_Transect 2021_2021","{""type"": ""LineString"", ""coordinates"": [[0.108443, 49.530744], [0.10781, 49.530689], [0.1076, 49.530455], [0.107531, 49.530246]]}","Prairie sans distinction","Non pâturée","Fauche précoce","[""espaces-verts.amendements.aucun""]","Non",1860,99.9703190185498,c(0.107846, 49.5305335)
"1153_Transect 2021_2021","{""type"": ""LineString"", ""coordinates"": [[0.109618, 49.530378], [0.109623, 49.530932], [0.109113, 49.530834]]}","Prairie sans distinction","Non pâturée","Non fauchée","[""espaces-verts.amendements.aucun""]","Non",1920,99.989012394296,c(0.109451333333333, 49.5307146666667)
"1154_Transect 2021_2021","{""type"": ""LineString"", ""coordinates"": [[0.130325, 49.483432], [0.129283, 49.483561], [0.129165, 49.48376]]}","Prairie sans distinction","Non pâturée","Non fauchée","[""espaces-verts.amendements.aucun""]","Non",1800,100.341333256082,c(0.129591, 49.4835843333333)
"1157_Transect 2021_2021","{""type"": ""LineString"", ""coordinates"": [[0.129858, 49.528294], [0.128473, 49.528301]]}","Prairie sans distinction","Non pâturée","Non fauchée","[""espaces-verts.amendements.aucun""]","Non",1920,99.9635675350944,c(0.1291655, 49.5282975)
"1158_Transect 2021_2021","{""type"": ""LineString"", ""coordinates"": [[0.130255, 49.52731], [0.128897, 49.527502]]}","Prairie sans distinction","Non pâturée","Non fauchée","[""espaces-verts.amendements.aucun""]","Non",1860,100.311874283484,c(0.129576, 49.527406)
