"Amaryllis","Argus vert","Azuré des nerpruns","Azuré porte-queue","Belle-Dame","Brun des pélargoniums","Carte géographique","Citrons","Demi-Deuil et Echiquiers","Flambés","Gazé","Grand Nacré et Tabac d'Espagne","Grande Tortue","Machaons","Mars changeants","Myrtil","Paon du jour","Petites Tortues","Procris","Robert le diable","Silène","Souci","Tircis","Tristan","Vulcain"
0,0,0,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1
0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,4,0,0,1,1,0,0
2,0,2,2,0,0,0,0,27,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,12,0,28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,4,0,0,0,1,0,0
0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
16,0,6,0,0,0,0,1,0,0,0,0,0,0,0,33,0,1,0,0,0,0,3,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,4,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1
9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,5,0
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,4,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,2,1,0,0
2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,0,0,2,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,7,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4
0,0,3,0,0,0,0,2,28,0,0,1,0,0,0,15,0,0,0,1,0,0,1,0,0
5,0,1,0,0,0,0,1,26,0,0,0,0,0,0,24,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,0,1,21,0,0,1,0,0,0,15,1,0,0,0,0,0,2,0,0
0,0,4,0,0,0,0,1,8,1,0,0,0,0,0,9,0,0,0,2,0,0,2,0,0
4,0,6,0,0,0,0,1,19,0,0,1,0,0,1,10,0,0,0,1,0,0,2,0,0
0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
4,0,1,0,0,0,0,0,24,1,0,0,0,0,0,36,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,32,0,0,0,0,0,0,10,0,0,1,0,0,2,0,0,0
0,0,1,0,1,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,5,36,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0
3,0,2,0,0,2,0,0,20,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,1,27,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,19,0,0,1,0,0,0,15,0,0,0,1,0,0,1,0,0
2,0,0,0,0,0,0,0,19,0,0,1,0,0,0,22,0,0,0,4,0,0,3,0,0
0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,19,1,0,0,2,0,0,2,0,0
0,0,2,0,0,0,0,0,16,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,7,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,18,0,0,0,2,0,0,0,0,0
2,0,0,0,0,0,0,1,17,1,0,1,0,0,0,16,0,0,0,1,0,0,2,0,2
0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,9,0,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0
